customer_name,customer_domain,mrr_usd,signup_date,end_date,acquisition_channel,country,industry
Grant AI,grantai.ai,600,2024-10-29,2024-12-29,outbound,United States,Fintech
Vertex AI,vertexai.io,4600,2024-04-22,,outbound,United Kingdom,Fintech
Iris Pro,irispro.ai,650,2024-02-17,,outbound,United States,Healthcare
Orbit Analytics,orbitanalytics.co,2800,2024-11-17,,outbound,United Kingdom,Logistics
Mosaic Networks,mosaicnetworks.com,2200,2024-08-20,,outbound,United States,Healthcare
Peak Cloud,peakcloud.io,3850,2024-07-13,,outbound,France,Fintech
Delta Link,deltalink.com,900,2024-04-18,,outbound,United Kingdom,Logistics
Torque HQ,torquehq.ai,3150,2024-10-26,2024-12-26,outbound,Canada,Healthcare
Vibe Systems,vibesystems.com,1050,2024-12-14,,outbound,United States,E-commerce
Trek Tech,trektech.ai,1000,2024-12-15,,outbound,Germany,Fintech
Iris Solutions,irissolutions.com,1750,2024-09-16,,inbound,United Kingdom,Logistics
Lumen HQ,lumenhq.ai,900,2024-11-02,,outbound,Australia,Fintech
Signal Networks,signalnetworks.io,550,2024-09-05,2024-12-04,inbound,France,Fintech
Willow IO,willowio.ai,1900,2024-10-03,,inbound,United Kingdom,E-commerce
Slate Solutions,slatesolutions.co,2450,2024-01-11,2024-04-10,inbound,United Kingdom,Fintech
Mosaic Cloud,mosaiccloud.com,1350,2024-05-22,2024-12-14,outbound,United Kingdom,SaaS
Zenith Systems,zenithsystems.io,900,2024-02-19,,outbound,Germany,E-commerce
Crest Data,crestdata.com,1750,2024-04-08,2024-07-23,inbound,France,E-commerce
Pillar Solutions,pillarsolutions.io,950,2024-01-26,2024-11-29,inbound,United States,Fintech
Vault Labs,vaultlabs.co,950,2024-07-18,,outbound,Australia,Healthcare
Xeno Systems,xenosystems.io,600,2024-06-09,,inbound,United States,SaaS
Volt IO,voltio.com,1000,2024-10-31,2024-12-30,inbound,United Kingdom,E-commerce
Zephyr Analytics,zephyranalytics.com,3200,2024-05-13,,inbound,Germany,Fintech
Harbor Networks,harbornetworks.co,3500,2024-11-14,,inbound,United States,SaaS
Orbit HQ,orbithq.ai,2500,2024-03-21,,outbound,France,Logistics
Volt AI,voltai.ai,2200,2024-02-29,,inbound,France,Fintech
Maven One,mavenone.io,4550,2024-05-08,,inbound,United States,Logistics
Pillar Analytics,pillaranalytics.com,2250,2024-03-23,,outbound,France,Logistics
Apex Data,apexdata.com,1000,2024-07-08,2024-10-22,inbound,Canada,Fintech
Core Ops,coreops.io,3350,2024-10-13,,outbound,United States,Fintech
Lark Pro,larkpro.com,1750,2024-05-16,,inbound,United States,E-commerce
Truss Link,trusslink.io,2950,2024-04-26,2024-09-17,inbound,United States,Logistics
Pillar Cloud,pillarcloud.ai,3050,2024-01-15,,inbound,United Kingdom,Fintech
Global Pro,globalpro.ai,850,2024-07-16,,inbound,United Kingdom,Fintech
Acme Tech,acmetech.io,2150,2024-11-15,,outbound,United States,Logistics
Vertex Networks,vertexnetworks.co,1400,2024-04-08,,outbound,Canada,Logistics
Lark Networks,larknetworks.co,2000,2024-04-17,,outbound,Germany,E-commerce
Merit Tech,merittech.co,900,2024-05-25,,outbound,United States,Fintech
Mint Labs,mintlabs.io,500,2024-08-21,,outbound,United Kingdom,Logistics
Velo Platforms,veloplatforms.io,600,2024-08-05,,inbound,United States,Logistics
Crest Works,crestworks.io,1850,2024-08-25,,outbound,Australia,SaaS
Vertex Pro,vertexpro.co,2950,2024-05-06,,outbound,France,E-commerce
Ember Networks,embernetworks.io,650,2024-03-11,,inbound,United Kingdom,E-commerce
Merit Cloud,meritcloud.co,4450,2024-02-01,,inbound,Canada,E-commerce
Zephyr AI,zephyrai.co,4100,2024-08-02,,inbound,Australia,Fintech
Veil AI,veilai.co,1700,2024-08-27,,inbound,France,Fintech
Yield AI,yieldai.com,1450,2024-01-26,2024-09-09,outbound,Canada,Healthcare
Sage Platforms,sageplatforms.ai,900,2024-08-28,,inbound,France,Fintech
Scout Link,scoutlink.com,900,2024-05-06,2024-08-06,inbound,United States,SaaS
Truss Data,trussdata.io,1700,2024-11-06,,inbound,United States,Healthcare
Cedar Networks,cedarnetworks.co,700,2024-10-30,,inbound,United States,Logistics
Grid Analytics,gridanalytics.ai,750,2024-09-16,,outbound,United States,E-commerce
Signal Solutions,signalsolutions.io,3050,2024-11-11,,outbound,Australia,E-commerce
Peak One,peakone.io,4050,2024-05-04,2024-09-24,outbound,Canada,Healthcare
Leap Systems,leapsystems.io,2550,2024-11-01,,outbound,France,Fintech
Lens Cloud,lenscloud.io,1400,2024-12-19,,outbound,Australia,E-commerce
Forge Networks,forgenetworks.io,2500,2024-08-30,,outbound,Canada,Logistics
Seraph Solutions,seraphsolutions.ai,1250,2024-06-10,2024-10-03,inbound,France,Logistics
