opportunity_name,company_name,stage,amount_usd,expected_close_date
Crest ML - Expansion #3,Crest ML,Discovery,700,2025-07-05
Xenon Platform - New Logo #22,Xenon Platform,Proposal,3100,2025-07-20
Pixel Logic - Expansion #31,Pixel Logic,Negotiation,5000,2025-06-11
Forge Pay - New Logo #6,Forge Pay,Discovery,700,2025-08-05
Forge Pay - New Logo #26,Forge Pay,Proposal,3800,2025-06-24
Umbra Security - New Logo #16,Umbra Security,Demo,1000,2025-07-24
Zone Analytics - Expansion #9,Zone Analytics,Discovery,2400,2025-07-19
Orbit Systems - New Logo #4,Orbit Systems,Discovery,1300,2025-07-05
Pixel Logic - Expansion #30,Pixel Logic,Negotiation,4600,2025-05-30
Granite Ledger - New Logo #28,Granite Ledger,Negotiation,2200,2025-06-25
Cobalt Networks - New Logo #23,Cobalt Networks,Proposal,4700,2025-07-27
Rivet Cloud - New Logo #8,Rivet Cloud,Discovery,1500,2025-07-26
Orbit Systems - New Logo #24,Orbit Systems,Proposal,2700,2025-07-06
Yield Tech - New Logo #27,Yield Tech,Negotiation,1600,2025-06-23
Nimbus Data - New Logo #7,Nimbus Data,Discovery,1300,2025-07-02
Orbit Systems - New Logo #21,Orbit Systems,Proposal,4500,2025-07-12
Cobalt Networks - New Logo #13,Cobalt Networks,Demo,2900,2025-07-22
Yield Tech - New Logo #15,Yield Tech,Demo,1700,2025-07-03
Zone Analytics - Expansion #2,Zone Analytics,Discovery,1700,2025-08-06
Orbit Systems - New Logo #25,Orbit Systems,Proposal,1300,2025-07-22
Umbra Security - New Logo #34,Umbra Security,Verbal Agreement,2900,2025-05-18
Lens Pro - Expansion #29,Lens Pro,Negotiation,2300,2025-07-11
Tidal Works - New Logo #11,Tidal Works,Demo,1900,2025-06-24
Summit AI - New Logo #19,Summit AI,Demo,3200,2025-07-09
Clay Labs - Expansion #20,Clay Labs,Proposal,3600,2025-06-08
Prism Tech - Expansion #33,Prism Tech,Verbal Agreement,4200,2025-06-25
Granite Ledger - New Logo #18,Granite Ledger,Demo,1000,2025-06-25
Xenon Platform - New Logo #14,Xenon Platform,Demo,2200,2025-07-25
Nimbus Data - New Logo #5,Nimbus Data,Discovery,2400,2025-07-07
Shore Security - Expansion #35,Shore Security,Verbal Agreement,6200,2025-05-27
Summit AI - New Logo #10,Summit AI,Discovery,900,2025-08-06
Clay Labs - Expansion #17,Clay Labs,Demo,1800,2025-08-03
Orbit Systems - New Logo #12,Orbit Systems,Demo,2600,2025-06-21
Anchor Insights - New Logo #32,Anchor Insights,Verbal Agreement,7500,2025-06-17
Tide Systems - Expansion #1,Tide Systems,Discovery,1800,2025-08-10
